time,condition,Dry_Weight,Chl_Per_Cell,Fv_Fm,Oxygen_Rate
0,Light,2.17083333333333,0.0251256668433139,0.006333333,-0.901361428
1,Light,2.19166666666667,0.0227418481848185,0.161805555555556,-0.718111785874943
2,Light,2.18333333333333,0.0269436357593885,0.16252777777777797,-0.563995880785228
3,Light,2.24166666666667,0.026641129032258,0.18830555555555603,-0.287733799686873
6,Light,2.30833333333333,0.04343841023547031,0.209694444444444,0.20516872881957396
12,Light,2.78333333333333,0.216777557755776,0.18830555555555603,0.23992180712424
24,Light,3.38333333333333,0.521680983149626,0.385,0.25
48,Light,3.4,1.70301178624557,0.557833333333333,0.256047619047619
72,Light,1.30833333333333,1.70277329276687,0.316361111111111,0.218333333333333
0,Dark,2.17083333333333,0.0251256668433139,0.006333333,-0.901361428
1,Dark,2.06666666666667,0.023402774887270203,0.009,-0.680894969026123
2,Dark,2.125,0.024120631720430098,0.0046666666666666,-0.48722972686964705
3,Dark,2.21666666666667,0.021341315014720405,0.007000000000000001,0.0174114668477283
6,Dark,2.39166666666667,0.0200432432432433,0.0086666666666666,0.2629080398567
12,Dark,2.65416666666667,0.0516514075067024,0.0096666666666666,0.386651907546645
24,Dark,3.3083333333333305,0.0676748366013072,0.002,0.888581879464542
48,Dark,3.65,0.0816358046588625,0.0023333333333333,1.27694734746047
72,Dark,1.475,0.0130458172458173,0.0016666666666666,1.28554228867156
